"audience_rating","movie_title","audience_count","genre"
97,"12 Angry Men (Twelve Angry Men)",105000,"Classics, Drama"
97,GoodFellas,428871,Drama
97,"12 Angry Men (Twelve Angry Men)",105000,"Classics, Drama"
97,GoodFellas,428871,Drama
96,Life Is Beautiful (La Vita ? bella),249253,"Art House & International, Comedy, Drama"
96,Life Is Beautiful (La Vita ? bella),249253,"Art House & International, Comedy, Drama"
95,Casablanca,357186,"Classics, Drama, Romance"
95,Rear Window,150539,"Classics, Drama, Mystery & Suspense"
95,Casablanca,357186,"Classics, Drama, Romance"
95,Rear Window,150539,"Classics, Drama, Mystery & Suspense"
94,Aliens,429158,"Action & Adventure, Horror, Science Fiction & Fantasy"
94,Heat,221684,"Action & Adventure, Mystery & Suspense"
94,Aliens,429158,"Action & Adventure, Horror, Science Fiction & Fantasy"
94,Heat,221684,"Action & Adventure, Mystery & Suspense"
93,Unforgiven,122522,"Drama, Western"
93,Casino,284881,Drama
93,Unforgiven,122522,"Drama, Western"
93,Casino,284881,Drama
92,The Thing,131833,"Horror, Science Fiction & Fantasy"
92,Scent of a Woman,119091,Drama
92,The Thing,131833,"Horror, Science Fiction & Fantasy"
92,Scent of a Woman,119091,Drama
90,High Fidelity,211641,"Comedy, Drama, Romance"
90,"12 Years a Slave",139962,Drama
90,High Fidelity,211641,"Comedy, Drama, Romance"
90,"12 Years a Slave",139962,Drama
89,Halloween,302801,"Horror, Mystery & Suspense"
89,The Fugitive,267605,"Action & Adventure, Drama, Mystery & Suspense"
89,Big Fish,498181,"Comedy, Drama"
89,Pride and Prejudice,459237,"Comedy, Drama, Romance"
89,"2001: A Space Odyssey",298619,"Classics, Science Fiction & Fantasy"
89,"300",1434714,"Action & Adventure, Drama"
89,Halloween,302801,"Horror, Mystery & Suspense"
89,The Fugitive,267605,"Action & Adventure, Drama, Mystery & Suspense"
89,Big Fish,498181,"Comedy, Drama"
89,Pride and Prejudice,459237,"Comedy, Drama, Romance"
89,"2001: A Space Odyssey",298619,"Classics, Science Fiction & Fantasy"
89,"300",1434714,"Action & Adventure, Drama"
88,A Christmas Story,285689,"Comedy, Drama, Kids & Family"
88,Night of the Living Dead,130422,"Classics, Cult Movies, Horror"
88,The Last of the Mohicans,207338,"Action & Adventure, Drama, Romance"
88,A Little Princess,240405,"Drama, Kids & Family"
88,The Count of Monte Cristo,209328,"Action & Adventure, Drama"
88,Crash,442173,Drama
88,Twelve Monkeys (12 Monkeys),390812,"Drama, Science Fiction & Fantasy"
88,A Christmas Story,285689,"Comedy, Drama, Kids & Family"
88,Night of the Living Dead,130422,"Classics, Cult Movies, Horror"
88,The Last of the Mohicans,207338,"Action & Adventure, Drama, Romance"
88,A Little Princess,240405,"Drama, Kids & Family"
