"studio_name","avg_ranking"
Dolores Pictures LLC,0.00
S�ville Pictures,0.00
Walking Shadows,0.00
New Films International,0.00
Image Entertianment,0.00
Scary Movies LLC,0.00
Live Entertainment,0.00
Artisan Home Entertainment,0.00
Quantum Entertainment,0.00
Animus Films,0.00
Cinema Epoch,0.00
Gold Lion China,0.00
SJPL Films,0.00
Studio 13,0.00
Artisan,3.00
Seven Arts Pictures/MGM,3.00
Millenium Entertainment,4.00
Momentum Pictures,5.00
American Sammy,7.00
Rocket Releasing,7.00
Anchor Bay Films,7.00
Corinth Films,8.00
Fact Not Fiction Films,8.00
Tomori Films,8.00
Desintation Film Dist. Corp.,9.00
Open Road Films,9.00
Atlas Distribution,11.00
Senator International,12.00
First Look International,13.00
Picturehouse Entertainment,13.00
Virgil Films & Entertainment,13.00
Cannon Home Video,13.00
Trimark,13.75
Senator Film,14.00
All Girl Productions,14.00
Dark Forest Releasing,15.00
Screen Gems/SONY PICTURES,15.00
Empire Film Group,15.00
RLJE Films,15.00
Three Kings,16.00
Swan Design Studios,16.00
Arcangelo Entertainment,17.00
Rada Films,17.00
Slow Hand Releasing,17.00
Bauer Martinez Studios,17.00
SPE Acquisitions,17.00
Ten Furlongs LLC.,17.00
Xenon Pictures,17.00
First Look,17.50
Sony/Screen Gems,17.50
Sony Pictures/TriStar Pictures,19.00
"20th Century Fox Film Corporat",19.00
Matson Films,20.00
Yari Film Group,20.00
HandMade Films,20.00
First Floor Features,20.00
Odeon Films,20.00
Angry Monkey Entertainment,20.00
SNP Inc.,21.00
Relativity Media,21.00
Samuel Goldwyn Films/IDP,21.00
Questar,21.00
Senator Entertainment,22.00
Joel Goodman Productions,22.00
Cyan Pictures,22.00
New Artists Alliance,22.00
Dune Entertainment,22.00
Abramorama,22.00
Hollywood Pictures,22.20
Slow Hand Cinema,24.00
Touchstone,24.00
Sterling Entertainment,24.50
Speakeasy Releasing,25.00
FEARnet,25.00
Geneon Entertainment,25.00
Archangel Entertainment,25.00
Darclight Films,25.00
Warner Bros. Pictures/Dark Castle Ent.,25.00
National Entertainment Media,25.00
Rogue Pictures,25.50
New Yorker Films,26.00
Rocky Mountain Pictures,26.00
Rysher Entertainment,27.00
MGM/UA,27.83
DreamWorks SKG,28.50
Crane Movie Company,29.00
Virgo International,29.00
Film Ventures International,29.00
Unapix Entertainment,29.00
Black Cloud LLC,29.00
Plexifilm,29.00
Dark Sky Films,29.00
New World Video,29.00
Cinedigm Entertainment,29.50
Picturehouse,29.67
Echo Bridge,30.00
Paladin Films,30.00
Anywhere,31.00
Indican,31.00
Arsenal Pictures,31.00
Sultan Entertainment,31.00
Gaumont,31.00
STXfilms,31.00
Freestyle Digital Media,31.00
Lorimar Home Video,31.67
Dimension Films,32.71
Lightning Media,33.00
Starmaker Entertainment,33.00
Asmik Ace Entertainment,33.00
IDP/Samuel goldwyn Films,33.00
Variance Releasing,33.00
Blue Fox Entertainment,33.00
Sorrento Productions,33.00
February Films,33.00
Wellington Films Ltd.,33.00
FilmBuff,33.50
Warner Independent,34.00
Screen Media,34.00
Sony Pictures/Columbia,34.00
IFC Midnight,35.00
Amblin Entertainment,35.00
Anchor Bay,35.50
IDP Distribution,36.00
Mello Pictures,36.00
Weinstein Company,36.00
First Independent Pictures,36.00
Metro Goldwyn Mayer,36.00
"20th Century Fox Film",36.00
Rainbow,36.00
Universal Pictures Distributio,36.00
Alliance Atlantis,36.50
Image Entertainment,36.88
First Look Home Entertainment,37.00
Unstoppable Entertainment,37.00
Box Office Spectaculars,38.00
RCA/Columbia,38.00
Wellspring Media Inc.,38.00
Arts For The Free Spirit,38.00
Kikker Arts,38.00
Pocket Releasing,38.00
Soda Pictures,38.00
Killer Films,38.00
GVN Releasing,38.00
Vivendi Entertainment,38.50
Gravitas Ventures,38.57
Variance Films,38.75
Sherwood Pictures,40.00
Monogram,40.00
Cabin Fever Entertainment,40.00
New City Releasing,40.00
Paladin,40.00
Cave of Time Pictures,40.00
Monterey Media Inc.,40.00
Pure Flix Entertainment,40.00
Samuel Goldwyn Films,40.25
Sony/Columbia Pictures,41.00
Momentum Picutres,41.00
New Line Home Entertainment,41.00
Green Door Pictures,41.00
Screen Gems,41.40
Walt Disney Studios,41.67
EuropaCorp,42.00
New Line Cinema,42.31
Excel Entertainment,43.00
H.B. Halicki Mercantile Co.,43.00
Blue Underground,43.00
"905 Corporation",43.00
eOne Entertainment,43.00
Dreamworks Pictures,43.00
Liberation Entertainment,43.00
Magic Lamp Releasing,43.00
Pantelion Films,43.00
Lionsgate,43.67
Film Ventures International (FVI),44.00
Alliance Atlantis Communicatio,44.00
Sony Pictures/Screen Gems,44.00
Alliance Films,44.00
E-1 Entertainment,44.00
Brainstorm Media,44.00
nWave Pictures,44.00
American International Pictures,44.33
Freestyle Releasing,44.44
The Weinstein Company/Dimension Films,44.50
Innovation Film Group,44.50
LionsGate Entertainment,44.75
R.S. Entertainment Inc.,45.00
MPI Media Group,45.00
Phase 4 Films,45.60
Eros Entertainment,46.00
"20th Century Fox/Emerging Pictures",46.00
Newmarket Films,46.00
Indican Pictures,46.50
Buena Vista,46.65
Dreamachine,47.00
Bow and Arrow Entertainment,47.00
Buena Vista Pictures,47.35
TLA Releasing,47.40
Universal,47.67
Roadside Attractions,48.50
Orion Home Video,48.71
Vestron Video,49.00
Outsider Films,49.00
Sony Pictures Releasing,49.00
Sony Pictures,49.24
Strand Releasing,49.50
Touchstone Pictures,49.63
Lionsgate Films,49.67
Lions Gate Films,49.67
New World Pictures,49.67
Walt Disney Pictures,49.80
Batjac Productions,50.00
Summit Entertainment,50.00
Audience Alliance,50.00
Independent Films,50.00
Outrider Pictures,50.00
True Film Fund,50.00
Silver Bullet,50.00
BiggerEpic,50.00
ReelU Films,50.00
Heretic Films,50.00
MCA Universal Home Video,50.26
Monterey Media,50.33
Fine Line Features,50.40
Vitagraph Films,50.50
Single Shot Productions,51.00
Live Home Video,51.08
Regent Releasing,51.22
Paramount,52.75
Warner Home Video,52.78
Sony Pictures Home Entertainment,52.95
Wild Bunch Distribution,53.00
Independent Pictures,53.00
Alliance Atlantis Motion Picture Distrib,53.00
Magnet Releasing/Magnolia Pictures,53.00
Embrem Entertainment,53.00
United International,54.00
City Lights Pictures,54.00
Cowboy Booking International,54.00
Random Productions,54.00
The Weinstein Company/MGM,54.00
Entertainment Studios Motion Pictures,54.00
ThinkFilm,54.22
Shadow Distribution,54.50
Truly Indie,54.50
Paramount Studios,54.50
Artisan Entertainment,54.56
HBO Video,54.88
PolyGram Video,55.20
Screen Media Films,55.50
Capricorn Pictures,56.00
Fox Atomic,56.00
SeeThink Productions,56.00
Academy Entertainment,56.00
Universal / Warner Bros.,56.00
Mangusta Productions,56.00
Revolver Entertianment,56.00
Tribeca Films,56.00
Virgin Vision,56.00
TriStar Pictures,56.33
Sony Pictures Entertainment,56.35
Miramax,56.43
Paramount Classics,56.50
Entertainment One,56.50
Disney,56.67
Warner Bros. Pictures,56.72
Anchor Bay Entertainment,56.82
Worldvision Home Video,57.00
Fries Entertainment,57.00
Visio Entertainment,57.00
Seventh Art Releasing,57.00
Contender,57.00
Red Chillies Entertainment,57.00
The Hike Productions,57.00
Paramount Home Video,57.52
Dreamworks Distribution LLC,58.00
Magnolia Pictures,58.72
Radius-TWC,58.75
"20th Century Fox",58.83
Vanguard,58.83
Dreamworks,59.00
Polychrome Pictures,59.00
Twentieth Century Fox Home Entertainment,59.44
Columbia Pictures,59.46
Liberated Artists,60.00
Ascot Films,60.00
MPI Home Video,60.00
Pacific Arts Video,60.00
Dream Entertainment,60.00
Legend Films,60.00
Turner Network Television (TNT),60.00
Kaveras Film,60.00
Cult Epics,60.00
Wolfe Video,60.00
Overture Films,60.67
VCI,61.00
Warner Independent Pictures,61.33
Lion's Gate Films,62.00
The Weinstein Co.,62.00
Maximum Film Distribution,62.00
Screen Media Ventures,63.00
Passport,63.00
Columbia Tri-Star,63.00
Oscilloscope Laboratories,63.00
Capitol Films,63.00
Breaking Glass Pictures,63.50
"",63.83
IFC Films,63.93
Fox,64.00
IDP,64.00
After Dark Films,64.00
Paramount Vantage,64.00
Cinerama Releasing Corporation,64.00
Kino International Corp.,64.00
Jinga Films,64.00
Red Flag Releasing,64.00
Hallmark Entertainment,64.33
Media Home Entertainment,64.69
Unknown,65.00
New Wave Films,65.00
MGM/UA Entertainment Company,65.00
Miramax Films,65.45
United Artists Films,65.50
Fox Searchlight Pictures,65.60
Universal Pictures,65.67
Paramount Pictures,65.88
The Weinstein Company,66.00
Universal Studios,66.22
Film Movement,66.78
Miramax Flims,67.00
Dreamland Motion Picture Co.,67.00
Golden Harvest Company,67.00
Republic,67.00
Laser Media,67.00
Fangoria,67.00
Omega Entertainment,67.00
MVD Music Video,67.00
Attitude Films,67.00
Vertical Entertainment,67.00
First Stripe Productions,67.00
Paul Devlin Productions,67.00
Treasure Entertainment,67.00
Tai Seng,67.00
Arc Entertainment,67.00
Empire Pictures,67.50
Slowhand Releasing,67.50
Focus Features,67.87
Waner Bros.,68.00
Samuel Goldwyn Films LLC,68.00
Sony Classics,68.00
Samuel Goldwyn Company,68.00
Lifesize Entertainment,68.00
Snowfort Pictures,68.00
Turner Home Entertainment,68.33
Slowhand Cinema,69.00
CiBy 2000,69.50
Buena Vista Distribution Compa,69.50
Broad Green Pictures,70.00
Focus World,70.00
Anywhere Road,70.00
Warner Bros.,70.65
MGM Home Entertainment,70.79
Republic Pictures,71.00
First Run Features,71.00
American International Picture,71.00
Golan-Globus Productions,71.00
Eastern Productions,71.00
Walt Disney Feature Animation,71.00
Shoreline Entertainment,71.00
Sony,71.00
Magnolia,71.00
Launchpad Productions,71.00
O2 Filmes,71.00
Orion Classics,71.00
MGM,71.10
AVCO Embassy Pictures,71.67
Greenlight Theatrical,72.00
Manhattan Pictures Internation,72.00
Saban Films,72.00
The Weinstein Co./Dimension,73.00
Lorber Films,73.00
Artistic License,73.00
MGM Pictures,73.00
Palm,73.00
Gorilla Films,73.00
WARNER BROTHERS PICTURES,73.03
E1 Entertainment,73.50
Yash Raj Films,74.00
IFC,74.00
Magnolia Pictures/Magnet Pictures,74.00
Gravitas,74.00
NCM/Fathom,74.00
Atlas Distribution Company,74.00
Sony Pictures Classics,74.27
HBO Documentary Films,74.33
Wellspring,74.50
MacGillivray Freeman Films,74.50
Palm Pictures,74.57
First Look Studios,74.67
Netflix,74.71
Westchester Films,75.00
National General Pictures,75.00
"MGM Pictures, Inc.",75.00
Continental,75.00
MCA/Universal Pictures,75.00
Egmont,75.00
Cinetic Media,75.00
International Spectrafilm,75.00
KinoNation,75.00
Leisure Time,75.00
Walt Disney Productions,75.60
Oscilloscope Pictures,75.83
Dreamworks Distribution,76.00
Vertigo Films,76.00
New Video,76.00
Warner Brothers,76.00
Red Envelope Entertainment,76.00
Revolver Entertainment,76.00
United Artists,76.10
Orion Pictures Corporation,76.50
Cinema Libre,77.00
Cleopatra Entertainment,77.00
Music Box Films,77.50
StudioCanal,77.50
"20th Century Fox Film Corporation",77.70
Vivafilm,78.00
Indie Crush,78.00
The Fish Film,78.00
Rialto Pictures,78.00
GGrindstone Entertainment Group,79.00
Doppelganger Releasing,79.00
Universal/Paramount Pictures,79.00
Evergreen,79.00
MGM/Dimension,79.00
Toho Company Ltd,80.00
Eureka Entertainment Ltd,80.00
Avalanche Entertainment,80.00
Union Pictures,80.00
Walt Disney,80.00
Film Life,80.00
Path�,80.00
Spinning Blue,80.00
Prime Entertainment,80.00
Grindhouse Entertainment,80.00
Icon Entertainment International,80.00
Mongrel Media,80.00
Metro Tartan Distributors,80.00
Fox Network,80.00
Film Camp Productions,80.00
Vertical Entertainment and DIRECTV,80.00
GKIDS,80.00
Kino International,80.33
Abramorama Entertainment,80.50
Hole LLC.,81.00
Zeitgeist Films,81.00
Film Chest,81.00
BMG,81.00
Trimark Pictures,81.00
First Look Media,81.00
MGM/Sidney Kimmel Entertainment,81.00
Menemsha Films,81.00
RKO Radio Pictures,81.50
Peace Arch Films,82.00
Hannover House,82.00
Gramercy,82.00
MGM Distribution Company,82.00
Interloper & Abramorama,82.00
Face Productions,82.00
Allied Artists Pictures,82.50
WG Film,83.00
United Film Distribution Compa,83.00
Metro-Goldwyn-Mayer (MGM),83.00
Lot 47 Films,83.00
Journeyman Pictures,83.00
Elephant Eye Films,83.00
Flower Films,83.00
Koch Lorber Films,83.00
Urban Tales Productions,83.00
Brickwall Productions,83.00
G�b�ka Films,83.00
Fox Searchlight,83.33
Koch Vision,83.50
Docurama,83.75
California Newsreel,84.00
Elysian Films,84.00
American International Pictures (AIP),84.00
Lions Gate Film,84.00
Code Red,84.00
Harbinger Pictures,84.00
Central Productions,85.00
Gibraltar Films,85.00
Audubon Nature Institute,85.00
DreamWorks/Paramount Distribution,85.00
Hatchet Films,85.00
Paramount/Dreamworks,85.00
Nordisk,85.00
Tartan Films,85.00
Arthouse Films,85.50
"20th Century Fox Film Corp.",86.00
Herts-Lion International Corp.,86.00
Water Bearer Films,86.00
Pan Films,86.00
First Independant Pictures,86.00
United Artists Pictures,86.00
Screen Media Ventures/Focus Features,86.00
Haram Films,86.00
Beard Collins Shores Productions,86.00
IFC First Take,86.75
National Geographic,87.00
Samuel Goldwyn Film/Red Envelope,87.00
Europa Corporation,87.00
Lionsgate/Roadside Attractions,87.00
Janus Films,87.00
Emerging Pictures,87.50
Kino Lorber,88.00
General Film Distributors,88.00
Cohen Media Group,88.00
Slingshot Entertainment,88.00
Cinemien,88.00
Castle Hill Productions,88.00
Island Alive,88.00
Fine Line Media,88.00
Sony Picture Classics,88.33
HBO Films,88.50
First Look Pictures,88.50
Kino Lorber Films,88.67
The Cinema Guild,89.00
Odeon Sky Filmworks,89.00
Kino,89.00
Mega Bollywood,89.00
Milestone Films,89.00
A24 Films,89.00
Aviron Pictures,89.00
Republic Pictures Home Video,89.25
CFFP,90.00
Buena Vista Distribution Company,90.00
IMAX,90.00
Screenvision,90.00
Bad Robot Productions,90.00
Vanguard Cinema,90.00
Tre V�nner Produktion AB,90.00
Sveriges Radio,91.00
Roxie Releasing,91.00
Artificial Eye,91.00
FilmsWeLike,91.00
Ideaman Studios,91.00
A24,91.00
Nordisk Film,91.00
Sundance Selects,91.50
Twentieth Century Fox,91.67
NCM Fathom,92.00
Columbia Pictures Corporation,92.00
Nelson Entertainment,92.00
The Filmgroup Inc.,92.00
USA Films,92.00
Zeitgeist,92.00
Alluvial Film Company,92.00
Drafthouse Films,92.00
Interactive Democracy Alliance,92.00
Archers,92.00
Samson Films,92.00
Hurricane Films,92.00
Scott Entertainment,93.00
TriStar,93.00
China Lion Film Distribution,93.00
Allied Artists,94.00
October Films,94.00
IMAX/Warner Bros.,94.00
Kingsmead Productions,94.00
Diaphana Films,94.00
Swift Distribution,94.00
Lucia Films,94.00
Close Up Films,94.00
RKO Pictures,94.60
Lopert Pictures,95.00
Universum Film Gmbh,95.00
Madacy Entertainment,95.00
Films Around the World,95.00
Kino Lorber Inc.,95.00
Gramercy Pictures,95.00
Magnet Releasing,95.00
Wolfe Releasing,95.00
Gaumont British Distributors,96.00
Balcony Releasing,96.00
Compass International Pictures,96.00
MGM/UA Classics,96.00
Eagle-Lion Films,96.00
Video Yesteryear,96.00
Artroumain,96.00
Vice Films,96.00
Continental Distributing Inc.,97.00
Metro-Goldwyn-Mayer Pictures,97.00
Sony Pictures Classic,97.00
Kino on Video,97.50
RKO Radio Pictures Inc.,97.50
Criterion Collection,97.80
Turtle Releasing,98.00
Gaumont British Picture Corporation,98.00
Cinerez,98.00
VCI Entertainment,100.00
Marshall Curry Productions,100.00
PRC Pictures Inc.,100.00
Universal International Pictur,100.00
Realart Pictures Inc.,100.00
Critics' Choice Video,100.00
Foremco,100.00
Screencraft Pictures,100.00
Image Entertainment Inc.,100.00
Franco London Films,100.00
BBC,100.00
American Playhouse,100.00
Zweites Deutsches Fernsehen,100.00
First National Pictures Inc.,100.00
MK2 Productions,100.00
Cohen Media,100.00
Edward Small Productions,100.00
Crown International Pictures,100.00
Cinema Guild,100.00
Granada Television,100.00
Rainlake Productions,100.00
Christal Films,100.00
Pathfinder Home Entertainment,100.00
eOne Entertainment Distribution,100.00
PBS,100.00
Films We Like,100.00
Big Pictures,100.00
Zenith International Films,100.00
HBO Documentary,100.00
RYOT Films,100.00
You Know Films,100.00
Vanishing Angle,100.00
Det Danske Filminstitut,100.00
Cinecom Pictures,100.00
Nom de Guerre Films,100.00
