"relese_year","total_movies"
2009,308
2008,286
2007,214
2006,154
2010,138
2005,134
1996,108
2000,106
1999,104
2002,102
2004,100
1997,90
1998,88
2001,88
1995,76
2014,74
2003,70
2013,64
1992,62
1994,60
2017,58
1993,58
2011,54
2015,54
2012,52
1991,52
1990,48
2018,48
1985,46
1986,46
1987,42
1981,42
1988,40
1979,36
1984,36
1962,34
1989,34
2016,34
1963,32
1950,28
1960,28
1956,28
1958,28
1980,28
1976,26
1973,26
1968,26
1949,24
1967,24
1931,24
1939,24
2019,24
1935,22
1951,22
1978,22
1983,22
1959,22
1947,20
1975,20
1954,18
1940,18
1977,18
1982,18
1937,18
1948,18
1972,16
1946,16
1953,16
1955,16
1933,16
1941,14
1952,14
1961,14
1969,14
1936,14
1971,14
1966,12
1974,12
1942,12
1927,12
1965,12
1957,10
1944,10
1970,10
1932,10
1945,8
1964,8
1930,6
1938,6
1934,6
1926,4
1929,4
1923,4
1943,4
1928,4
1919,2
1916,2
1920,2
1925,2
1921,2
1924,2
1922,2
