"tomatometer_rating","movie_title","tomatometer_count","genre"
100,"11:55",5,Drama
100,"12 Angry Men (Twelve Angry Men)",51,"Classics, Drama"
100,"14 Hours",5,"Classics, Drama, Mystery & Suspense"
100,"16 Acres",8,"Documentary, Special Interest"
100,"4 Little Girls",27,"Documentary, Special Interest"
100,"5B",17,Documentary
100,"7 Days in September",11,"Documentary, Special Interest"
100,"808",6,Documentary
100,"A Bread Factory, Part One: For the Sake of Gold",27,"Comedy, Drama"
100,"A Bread Factory, Part Two: Walk with Me a While",19,"Drama, Musical & Performing Arts"
100,A Brother's Kiss,5,Drama
100,A Christmas Carol,12,"Classics, Drama, Kids & Family, Science Fiction & Fantasy"
100,A Conspiracy of Faith (Flaskepost fra P),6,"Art House & International, Drama, Mystery & Suspense"
100,A Gray State,18,Documentary
100,A Kiss Before Dying,9,"Drama, Mystery & Suspense"
100,A Night to Remember,20,"Action & Adventure, Classics, Drama, Special Interest"
100,A Room With a View,30,"Art House & International, Classics, Comedy, Drama, Romance"
100,A Star Is Born,20,"Classics, Drama"
100,A Tale of Two Cities,11,"Classics, Drama, Romance"
100,A Tuba to Cuba,11,"Documentary, Musical & Performing Arts"
100,A Woman's Face,7,"Classics, Drama, Mystery & Suspense"
100,Adam's Rib,27,"Classics, Comedy, Romance"
100,Alice (Neco z Alenky),20,"Animation, Art House & International, Horror, Science Fiction & Fantasy, Special Interest"
100,All About Eve,67,"Classics, Drama"
100,All Quiet on the Western Front,5,Drama
100,American Son,13,Drama
100,Anita O'Day: The Life of a Jazz Singer,30,"Documentary, Musical & Performing Arts, Special Interest"
100,Anna Karenina,12,"Classics, Drama, Romance"
100,Attack,6,"Classics, Drama"
100,Ballet Shoes,6,"Drama, Kids & Family"
100,Battleground,6,"Action & Adventure, Classics, Drama"
100,Blood and Sand,9,"Classics, Drama, Romance"
100,Bluebeard,12,"Classics, Drama, Horror, Mystery & Suspense"
100,Boogie (Summer Holiday),10,"Comedy, Drama"
100,Borderland,8,"Drama, Horror, Mystery & Suspense"
100,Boy Meets Girl (1984),9,"Art House & International, Drama, Romance"
100,Brother's Keeper,17,"Documentary, Special Interest"
100,"C'est Pas Moi, Je le Jure! (It's Not Me, I Swear!)",5,"Art House & International, Comedy, Kids & Family"
100,Cape Fear,20,"Classics, Drama, Mystery & Suspense"
100,Captain Blood,25,"Action & Adventure, Classics"
100,Caught,8,"Classics, Drama, Mystery & Suspense"
100,Conspiracy,6,"Drama, Television"
100,Contraband,6,"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense"
100,Crossing Arizona,6,"Documentary, Special Interest"
100,Days of Wine and Roses,10,"Classics, Drama"
100,Dear Pillow,6,"Art House & International, Drama"
100,Death of a Salesman,8,"Drama, Television"
100,Dodge City,13,"Classics, Western"
100,Edward II,10,Drama
100,Fail Safe,5,"Action & Adventure, Drama, Mystery & Suspense, Television"
100,Fanaa,7,"Art House & International, Drama, Musical & Performing Arts, Romance"
100,Four Sheets to the Wind,7,"Art House & International, Drama"
100,Fury,15,"Classics, Drama, Mystery & Suspense"
100,Ghosts of Abu Ghraib,10,"Documentary, Special Interest"
100,"Goodbye, Mr. Chips",5,"Drama, Musical & Performing Arts, Romance"
100,Heidi,15,"Action & Adventure, Classics, Drama, Kids & Family"
100,Henry V,35,"Action & Adventure, Drama, Romance"
100,How the Grinch Stole Christmas,25,"Animation, Classics, Comedy, Kids & Family, Musical & Performing Arts, Television"
100,Indiscreet,20,"Classics, Comedy, Romance"
100,Ink,6,"Action & Adventure, Science Fiction & Fantasy"
100,It,11,"Classics, Comedy, Drama, Romance"
100,Jane Eyre,12,"Classics, Drama, Romance"
100,King Of The Ants,9,"Drama, Horror, Mystery & Suspense"
100,Know Your Mushrooms,8,"Art House & International, Documentary, Special Interest"
100,L'Enfer,9,"Art House & International, Drama"
100,Laura,61,"Classics, Mystery & Suspense"
100,Longford,5,"Drama, Television"
100,Lust for Life,10,"Classics, Drama"
100,M,53,"Art House & International, Drama, Mystery & Suspense"
100,Marty,34,"Classics, Drama, Romance"
100,Never Say Macbeth,6,Comedy
100,Nightmare Alley,11,"Classics, Drama"
100,Odd Man Out,30,"Classics, Drama, Mystery & Suspense"
100,Of Mice and Men,13,"Classics, Drama"
100,Passing Strange,25,"Documentary, Musical & Performing Arts, Television"
100,Platinum Blonde,7,"Classics, Comedy, Romance"
100,Pride and Prejudice,10,"Classics, Comedy, Drama"
100,Raw Deal,8,"Classics, Drama, Mystery & Suspense"
100,Rear Window,66,"Classics, Drama, Mystery & Suspense"
100,Red Dust,8,"Drama, Romance"
100,Robin Hood,8,"Action & Adventure, Classics, Kids & Family, Romance"
100,Run Robot Run!,5,Comedy
100,Sabotage,11,"Classics, Mystery & Suspense"
100,Sahara,10,"Action & Adventure, Classics, Drama"
100,Scarface,37,"Classics, Drama"
100,Shadow of a Doubt,35,"Classics, Drama, Mystery & Suspense"
100,Shadows,20,"Classics, Drama, Romance"
100,Sherman's March,12,"Documentary, Special Interest"
100,Something to Sing About,5,"Classics, Comedy, Drama, Musical & Performing Arts"
100,Stagecoach,37,"Action & Adventure, Classics, Drama, Western"
100,Stalker,37,"Action & Adventure, Art House & International, Drama, Mystery & Suspense, Science Fiction & Fantasy"
100,Street Fight,22,"Documentary, Special Interest"
100,Suddenly,8,"Action & Adventure, Classics, Drama, Mystery & Suspense"
100,Swing Time,26,"Classics, Musical & Performing Arts, Romance"
100,The 400 Blows (Les Quatre cents coups),58,"Art House & International, Classics, Drama"
100,The Adventures of Robin Hood,46,"Action & Adventure, Classics, Romance"
100,The Big Heat,29,"Classics, Drama, Mystery & Suspense"
100,The Black Pirate,11,"Action & Adventure, Classics"
100,The Breaking Point,7,Drama
100,The Four Feathers,9,"Action & Adventure, Art House & International, Classics"
100,The Friends of Eddie Coyle,25,"Classics, Drama, Horror, Mystery & Suspense"
100,The Gunfighter,10,"Action & Adventure, Drama, Western"
100,The Harder They Fall,11,"Classics, Drama, Mystery & Suspense"
100,The Hill,5,"Classics, Drama"
100,The Hunchback of Notre Dame,13,"Classics, Drama, Romance"
100,The Interview,9,"Drama, Mystery & Suspense"
100,The Invisible Man,37,"Classics, Comedy, Horror, Science Fiction & Fantasy"
100,The Kid,32,"Classics, Comedy"
100,The Killers,34,"Classics, Drama, Mystery & Suspense, Romance"
100,The Ladykillers,23,"Art House & International, Classics, Comedy, Drama, Mystery & Suspense"
100,The Letter,13,"Classics, Drama"
100,The Lost Patrol,6,"Action & Adventure, Classics, Drama"
100,The Maltese Falcon,55,"Drama, Mystery & Suspense"
100,The Miracle Worker,23,"Classics, Drama"
100,The Narrow Margin,10,"Classics, Drama, Mystery & Suspense"
100,The Odd Couple,34,"Classics, Comedy, Drama"
100,The Old Dark House,23,"Classics, Comedy, Horror, Mystery & Suspense"
100,The Prisoner of Zenda,9,"Action & Adventure, Classics, Drama"
